deptno,approval1,approval2,approval3,approval4,approval5,approval6,approval7,approval8,approval9,requestors
Dept/Loc,,,,,,,,,FMCB,
805000,,,,,,,,,FMCB,
313000,,,,,,,,,FMCB,
221000,,,,,,,,,FMCB,
224000,,,,,,,,,FMCB,
231000,,,,,,,,,FMCB,
235000,,,,,,,,,FMCB,
238000,,,,,,,,,FMCB,
239000,,,,,,,,,FMCB,
860000,,,,,,,,,FMCB,
140000,,,,,,,,,FMCB,
400000,,,,,,,,,FMCB,
250000,,,,,,,,,FMCB,
280000,,,,,,,,,FMCB,
671000,,,,,,,,,FMCB,
672000,,,,,,,,,FMCB,
795000,,,,,,,,,FMCB,
240000,,,,,,,,,FMCB,
290000,,,,,,,,,FMCB,
310000,,,,,,,,,FMCB,
320000,,,,,,,,,FMCB,
330000,,,,,,,,,FMCB,
430000,,,,,,,,,FMCB,
630000,,,,,,,,,FMCB,
640000,,,,,,,,,FMCB,
673000,,,,,,,,,FMCB,
674000,,,,,,,,,FMCB,
700000,,,,,,,,,FMCB,
710000,,,,,,,,,FMCB,
780000,,,,,,,,,FMCB,
730000,,,,,,,,,FMCB,
620000,,,,,,,,,FMCB,
804000,,,,,,,,,FMCB,
100000,,,,,,,,,FMCB,
102000,,,,,,,,,FMCB,
106000,,,,,,,,,FMCB,
110000,,,,,,,,,FMCB,
115000,,,,,,,,,FMCB,
118000,,,,,,,,,FMCB,
120000,,,,,,,,,FMCB,
135000,,,,,,,,,FMCB,
155000,,,,,,,,,FMCB,
160000,,,,,,,,,FMCB,
170000,,,,,,,,,FMCB,
172000,,,,,,,,,FMCB,
204000,,,,,,,,,FMCB,
205000,,,,,,,,,FMCB,
208000,,,,,,,,,FMCB,
209000,,,,,,,,,FMCB,
210000,,,,,,,,,FMCB,
